unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359737722,159107460,6,3261,543.5,1359737720256,1359737720384,159105716,159105844,128
1359737722,159107464,6,4962,827,1359737717375,1359737717823,159102839,159103287,448
1359737722,159107464,6,4962,827,1359737717375,1359737717887,159102839,159103351,512
1359737722,159107464,6,4962,827,1359737717374,1359737717886,159102838,159103350,512
1359737722,159107468,7,2533,361.8571429,1359737720311,1359737720503,159105779,159105971,192
1359737722,159107468,7,3498,499.7142857,1359737720312,1359737720504,159105780,159105972,192
1359737722,159107472,7,3498,499.7142857,1359737720308,1359737720500,159105780,159105972,192
1359737722,159107508,6,3107,517.8333333,1359737720210,1359737720338,159105718,159105846,128
1359737722,159107512,8,3544,443,1359737720269,1359737720525,159105781,159106037,256
1359737722,159107512,8,3544,443,1359737720269,1359737720525,159105781,159106037,256
1359737722,159107512,5,2523,504.6,1359737720268,1359737720396,159105780,159105908,128
1359737723,159108188,10,4089,408.9,1359737720531,1359737720659,159105719,159105847,128
1359737723,159108188,10,4089,408.9,1359737720531,1359737720659,159105719,159105847,128
1359737731,159116212,7,2646,378,1359737720569,1359737730745,159105781,159115957,10176
1359737739,159124220,2,123,61.5,1359737730739,1359737730739,159115959,159115959,0
1359737739,159124260,4,196,49,1359737736970,1359737737034,159122230,159122294,64
1359737746,159131764,10,5180,518,1359737720019,1359737720275,159105783,159106039,256
1359737746,159131764,4,1251,312.75,1359737720019,1359737720979,159105783,159106743,960
1359737746,159131764,16,3987,249.1875,1359737720019,1359737720403,159105783,159106167,384
1359737746,159131764,10,6265,626.5,1359737720082,1359737724370,159105846,159110134,4288
1359737746,159131764,8,5043,630.375,1359737720082,1359737720274,159105846,159106038,192
1359737746,159131764,1,717,717,1359737720082,1359737720082,159105846,159105846,0
1359737746,159131764,8,5043,630.375,1359737720082,1359737720338,159105846,159106102,256
1359737746,159131764,2,886,443,1359737720145,1359737720273,159105909,159106037,128
1359737746,159131764,1,443,443,1359737720145,1359737720145,159105909,159105909,0
1359737746,159131764,1,461,461,1359737720208,1359737720208,159105972,159105972,0
1359737746,159131768,1,708,708,1359737720334,1359737720334,159106102,159106102,0
1359737746,159131768,1,554,554,1359737720334,1359737720334,159106102,159106102,0
1359737746,159131768,7,2781,397.2857143,1359737720333,1359737720781,159106101,159106549,448
1359737746,159131820,6,2487,414.5,1359737720155,1359737720347,159105975,159106167,192
1359737746,159131820,7,2781,397.2857143,1359737720154,1359737720602,159105974,159106422,448
1359737746,159131820,1,413,413,1359737720154,1359737720154,159105974,159105974,0
1359737746,159131820,9,1454,161.5555556,1359737720218,1359737720346,159106038,159106166,128
1359737746,159131820,1,46,46,1359737720218,1359737720218,159106038,159106038,0
1359737750,159135888,20,2519,125.95,1359737724884,1359737737044,159110772,159122932,12160
1359737750,159135896,3,3181,1060.333333,1359737725326,1359737725326,159111222,159111222,0
1359737754,159140008,5,1896,379.2,1359737729309,1359737729629,159115317,159115637,320
1359737758,159143840,3,240,80,1359737731333,1359737732869,159117173,159118709,1536
1359737758,159143952,9,3093,343.6666667,1359737731860,1359737732116,159117812,159118068,256
1359737758,159143972,3,152,50.66666667,1359737733505,1359737742465,159119477,159128437,8960
1359737779,159164276,2,123,61.5,1359737776121,1359737776121,159161397,159161397,0
1359737779,159164280,2,123,61.5,1359737776438,1359737776502,159161718,159161782,64
1359737779,159164280,2,123,61.5,1359737776438,1359737776502,159161718,159161782,64
1359737779,159164280,2,123,61.5,1359737776437,1359737776501,159161717,159161781,64
1359737779,159164288,2,123,61.5,1359737777131,1359737777131,159162419,159162419,0
1359737779,159164320,2,123,61.5,1359737777102,1359737777102,159162422,159162422,0
1359737779,159164324,2,123,61.5,1359737775688,1359737775688,159161012,159161012,0
1359737779,159164324,2,123,61.5,1359737776072,1359737776072,159161396,159161396,0
1359737779,159164332,2,123,61.5,1359737776386,1359737776450,159161718,159161782,64
1359737779,159164352,2,123,61.5,1359737777067,1359737777067,159162419,159162419,0
1359737779,159164356,2,123,61.5,1359737777066,1359737777066,159162422,159162422,0
1359737779,159164356,2,123,61.5,1359737777256,1359737777256,159162612,159162612,0
1359737787,159172256,3,169,56.33333333,1359737783052,1359737783180,159168308,159168436,128
1359737787,159172256,3,169,56.33333333,1359737783052,1359737783180,159168308,159168436,128
1359737787,159172260,2,123,61.5,1359737780106,1359737780170,159165366,159165430,64
1359737787,159172260,2,123,61.5,1359737780489,1359737780489,159165749,159165749,0
1359737787,159172260,2,123,61.5,1359737780489,1359737780489,159165749,159165749,0
1359737787,159172264,3,169,56.33333333,1359737783238,1359737783366,159168502,159168630,128
1359737787,159172304,3,169,56.33333333,1359737783005,1359737783133,159168309,159168437,128
1359737787,159172304,3,169,56.33333333,1359737783005,1359737783133,159168309,159168437,128
1359737787,159172304,2,123,61.5,1359737779547,1359737779611,159164851,159164915,64
1359737787,159172308,2,123,61.5,1359737780057,1359737780121,159165365,159165429,64
1359737787,159172332,2,123,61.5,1359737784383,1359737784447,159169715,159169779,64
1359737787,159172344,2,123,61.5,1359737785398,1359737785462,159170742,159170806,64
1359737790,159175896,2,92,46,1359737763532,1359737763596,159149428,159149492,64
1359737790,159175924,4,324,81,1359737764528,1359737764592,159150452,159150516,64
1359737802,159187896,1,165,165,1359737774796,1359737774796,159160692,159160692,0
1359737802,159188016,2,92,46,1359737776915,1359737777043,159162931,159163059,128
1359737806,159192012,1,46,46,1359737778201,1359737778201,159164213,159164213,0
1359737843,159228296,3,159,53,1359737840675,1359737840739,159225971,159226035,64
1359737843,159228296,3,159,53,1359737840866,1359737840930,159226162,159226226,64
1359737843,159228300,3,159,53,1359737840993,1359737841057,159226293,159226357,64
1359737843,159228300,3,159,53,1359737840864,1359737840928,159226164,159226228,64
1359737843,159228300,3,159,53,1359737840864,1359737840864,159226164,159226164,0
1359737843,159228372,3,159,53,1359737840792,1359737840792,159226164,159226164,0
1359737846,159232060,1,46,46,1359737821159,1359737821159,159207219,159207219,0
1359737850,159236048,2,92,46,1359737823989,1359737824053,159210037,159210101,64
1359737850,159236052,4,324,81,1359737824433,1359737824497,159210485,159210549,64
1359737851,159236376,2,139,69.5,1359737850386,1359737850386,159235762,159235762,0
1359737851,159236448,2,139,69.5,1359737850313,1359737850313,159235761,159235761,0
1359737858,159243952,1,165,165,1359737829908,1359737829908,159215860,159215860,0
1359737859,159244348,2,139,69.5,1359737853743,1359737853743,159239091,159239091,0
1359737859,159244348,2,139,69.5,1359737853743,1359737853743,159239091,159239091,0
1359737859,159244348,2,139,69.5,1359737853743,1359737853743,159239091,159239091,0
1359737859,159244348,2,139,69.5,1359737853743,1359737853743,159239091,159239091,0
1359737859,159244348,2,139,69.5,1359737853743,1359737853743,159239091,159239091,0
1359737859,159244348,2,139,69.5,1359737853743,1359737853743,159239091,159239091,0
1359737859,159244348,2,139,69.5,1359737853741,1359737853741,159239089,159239089,0
1359737859,159244348,2,139,69.5,1359737853741,1359737853741,159239089,159239089,0
1359737859,159244348,2,113,56.5,1359737853741,1359737853741,159239089,159239089,0
1359737859,159244396,2,139,69.5,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,139,69.5,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,139,69.5,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,139,69.5,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,92,46,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,92,46,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,92,46,1359737853694,1359737853694,159239090,159239090,0
1359737859,159244396,2,92,46,1359737853694,1359737853694,159239090,159239090,0
1359737878,159264000,1,46,46,1359737853090,1359737853090,159239090,159239090,0
1359737878,159264000,1,46,46,1359737853090,1359737853090,159239090,159239090,0
1359737878,159264000,1,46,46,1359737853090,1359737853090,159239090,159239090,0
1359737878,159264000,1,46,46,1359737853090,1359737853090,159239090,159239090,0
1359737878,159264000,1,46,46,1359737853089,1359737853089,159239089,159239089,0
1359737878,159264000,1,46,46,1359737853089,1359737853089,159239089,159239089,0
1359737878,159264000,1,46,46,1359737853089,1359737853089,159239089,159239089,0
1359737878,159264080,1,46,46,1359737853009,1359737853009,159239089,159239089,0
1359737878,159264084,1,46,46,1359737853008,1359737853008,159239092,159239092,0
1359737878,159264084,1,46,46,1359737853008,1359737853008,159239092,159239092,0
1359737910,159295972,2,92,46,1359737884096,1359737884160,159270068,159270132,64
1359737910,159295996,4,324,81,1359737884517,1359737884581,159270513,159270577,64
1359737910,159296000,1,165,165,1359737885025,1359737885025,159271025,159271025,0
1359737938,159324020,1,46,46,1359737911182,1359737911182,159297202,159297202,0
